STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
MILITARY ROAD E	E/O 22 AV E	4675		4675		5575
MILITARY ROAD E	W/O 36 AV E	3775		3900		4525
MILITARY ROAD E	E/O 36 AV E	3475		3650		3225
MILITARY ROAD E	E/O 38 AV E	3725		4300		3675
MILITARY ROAD E	W/O CANYON RD E	4450		4500		4075
MILITARY ROAD E	W/O SR 162 & RRXING		9300		8275	
MILITARY ROAD E	E/O 130 AV CT E		11200		11125	
MILITARY ROAD E	E/O SHAW RD E		4025		3650	
MILITARY ROAD E	SW/O SHAW RD E		13675	14175	14800	
MILITARY ROAD E	S/O RESERVOIR RD E		13275		14800	
MILITARY ROAD S	E/O C ST S	15825		17125		17350
MILITARY ROAD S	E/O SPANAWAY LOOP RD	15950		13525	14275	14050
MILITARY ROAD S	W/O SPANAWAY LOOP RD	14175	12475	12250		11975
MILWAUKEE AVENUE E	SW/O BENSTON DR E					
MILWAUKEE AVENUE E	N/O VALLEY AVE E		5450		4475	
MILWAUKEE AVENUE E	S/O VALLEY AVE E		6875		6975	
MOLLER DRIVE NW	S/O DRUMMOND DR NW		550		450	
MOLLER DRIVE NW	N/O DRUMMOND DR NW		3025		2950	
MOWITSH DR FI	E/O 12 AV FI	675625	575425	475		
MUNDY LOSS ROAD E	S/O 96 ST E		1550		1300	
MUNDY LOSS ROAD E	S/O 112 ST E		5875		3925	
MUNDY LOSS ROAD E	N/O SR 162		3550		2875	
NISQUALLY ROAD SW	N/O NISQUALLY RIVER	9550		9925		9825
NORTH LEVEE ROAD E	E/O FREEMAN RD E		9200		7450	
OLSON DRIVE KPN	W/O KEY PENINSULA HWY	2375		2450		2325
OLSON DRIVE KPN	N/O 92 ST KPN	1500		1425		1375
OLYMPIC DRIVE NE	SE/O SR 509		525		525	
ORTING-KAPOWSIN HW	AT BRIDGE #31195-A		9300		9550	
ORTING-KAPOWSIN HW	N/O 200 ST E	7650	7625		6600	
ORTING-KAPOWSIN HW	S/O 224 ST E		4250		4275	
ORTING-KAPOWSIN HW	N/O 224 ST E		4125		4075	
ORTING-KAPOWSIN HW	S/O 240 ST E		2350		2675	
ORTING-KAPOWSIN HW	S/O 264 ST E		1600		1825	
ORTING-KAPOWSIN HW	N/O KAPOWSIN HWY	1525		1550		1350
ORVILLE ROAD E	NW/O SR 161	875	1075	850925	825	
ORVILLE ROAD E	S/O KAPOWSIN HWY	1075		775		775
ORVILLE ROAD E	E/O ORTING KAPOWSIN HWY	1875		1925		2025
ORVILLE ROAD E	S/O 264 ST E		1550		1425	
ORVILLE ROAD E	S/O BROOKS RD E		2050		1650	
ORVILLE ROAD E	S/O SR 162		4850		4275	
PARK AVENUE S	S/O 96 ST S		2625		2375	
PARK AVENUE S	N/O 108 ST S		9050		8825	
PARK AVENUE S	S/O 108 ST S		11650		11475	
PARK AVENUE S	N/O TULE LK RD S	1850		1700		1775
PARK AVENUE S	S/O GARFIELD ST S	4050		2650		4200
PARK AVENUE S	N/O 121 ST S	3575		2425		2525
PARK AVENUE S	S/O 121 ST S	4375		2800		4075
PARK AVENUE S	S/O 112 ST S	3625		2775		3025
PARK AVENUE S	N/O 112 ST S	3275		2400		2625
PARK AVENUE S	S/O 160 ST S	1200		300		600
PARK AVENUE S	N/O 174 ST S	1100		1900		850
PATTERSON ROAD E	SE/O SR 162		1950		1750	
PEACOCK HILL AV NW	N/O GIG HARBOR C/L		6375		6400	
PEACOCK HILL AV NW	S/O 144 ST NW		4150		4275	
PEACOCK HILL AV NW	N/O 144 ST NW		2775		2675	
PIONEER WAY E	NW/O WALLER RD E	18725	17400	17275	16575	
PIONEER WAY E	NE/O WALLER RD E	11450	12275	11825	12950	12475
